LAYOUT,sample,,,,,,,,,,
sg1,sg1,sg1,sg1,sg1,sg1,sg1,sg1,sg1,sg1,NA,NA
sg2,sg2,sg2,sg2,sg2,sg2,sg2,sg2,sg2,sg2,empty,blank
sg3,sg3,sg3,sg3,sg3,sg3,sg3,sg3,sg3,sg3,empty,blank
sg4,sg4,sg4,sg4,sg4,sg4,sg4,sg4,sg4,sg4,empty,blank
sg5,sg5,sg5,sg5,sg5,sg5,sg5,sg5,sg5,sg5,empty,blank
sg6,sg6,sg6,sg6,sg6,sg6,sg6,sg6,sg6,sg6,empty,blank
sg4t4,sg4t4,sg4t4,sg4t4,sg4t4,sg4t4,sg4t4,sg4t4,sg4t4,sg4t4,empty,blank
sg1t4,sg1t4,sg1t4,sg1t4,sg1t4,sg1t4,sg1t4,sg1t4,sg1t4,sg1t4,NA,NA
LAYOUT,arabinose,,,,,,,,,,
-1,0.2,0.0002,0.0001,0.00005,0.000025,0.0000125,0.00000625,0.000003125,0,0,0
-1,0.2,0.0002,0.0001,0.00005,0.000025,0.0000125,0.00000625,0.000003125,0,0,0
-1,0.2,0.0002,0.0001,0.00005,0.000025,0.0000125,0.00000625,0.000003125,0,0,0
-1,0.2,0.0002,0.0001,0.00005,0.000025,0.0000125,0.00000625,0.000003125,0,0,0
-1,0.2,0.0002,0.0001,0.00005,0.000025,0.0000125,0.00000625,0.000003125,0,0,0
-1,0.2,0.0002,0.0001,0.00005,0.000025,0.0000125,0.00000625,0.000003125,0,0,0
-1,0.2,0.0002,0.0001,0.00005,0.000025,0.0000125,0.00000625,0.000003125,0,0,0
-1,0.2,0.0002,0.0001,0.00005,0.000025,0.0000125,0.00000625,0.000003125,0,0,0
